キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,KYF31,GRATINA 4G,KYOCERA,京セラ,2016/2/19,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,130,3.4,TFT液晶,854×480,"16,777,216",T,Y,Y,Y,N,N ,Y,N,N,Y,2017/4/25,,,,,,,,,,,,
au,KYF32,かんたんケータイ,KYOCERA,京セラ,2016/7/30,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,137,3.4,TFT液晶,854×480,"16,777,216",T,N,Y,Y,N,N,N,N,N,Y,2016/8/3,,,,,,,,,,,,
au,KYF33,TORQUE X01,KYOCERA,京セラ,2017/2/24,-,MSM8909 1.1GHｚ（Quad Core）,1GB,8GB,182,3.4,TFT液晶,854×480,"16,777,216",T,Y,Y,Y,Y,N,Y,N,N,Y,2017/3/1,,,,,,,,,,,,
au,KYF34,GRATINA 4G,KYOCERA,京セラ,2017/4/21,CDMA 1x MC,MSM8909 1.1GHz（Quad Core）,1GB,8GB,130,3.4,TFT液晶,854×480,"16,777,216",T,Y,Y,Y,N,N ,Y,N,N,Y,2017/4/25,,,,,,,,,,,,
au,KYF35,MARVERA,KYOCERA,京セラ,2017/8/10,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,139,3.4,TFT液晶,854×480,"16,777,216",T,Y,Y,Y,N,N,Y,N,N,Y,2017/8/16,,,,,,,,,,,,
au,KYF36,かんたんケータイ,KYOCERA,京セラ,2017/8/10,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,142,3.4,TFT液晶,854×480,"16,777,216",T,N,Y,Y,N,N,N,N,N,Y,2017/8/16,,,,,,,,,,,,
au,KYF37,GRATINA,KYOCERA,京セラ,2017/12/23,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,136,3.4,TFT液晶,960×540,"16,777,216",T,Y,Y,Y,N,N,Y,N,N,Y,2017/12/26,,,,,,,,,,,,
au,KYF38,かんたんケータイ,KYOCERA,京セラ,2018/7/27,-,MSM8909 1.1GHz（Quad Core）,1GB,8GB,140,3.4,TFT液晶,854×480,"16,777,216",T,N,Y,Y,N,N,N,N,N,Y,2018/7/31,,,,,,,,,,,,
au,KYL21,DIGNO S,KYOCERA,京セラ,2012/11/9,WIN HIGH SPEED,Qualcomm Snapdragon MSM8960 1.5GHz,1GB,16GB,157,4.7,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2012/11/13,,,,,,,,,,,,
au,KYL22,DIGNO M,KYOCERA,京セラ,2013/11/23,WIN HIGH SPEED,MSM8974 2.2GHz （Quad Core）,2GB,32GB,134,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2013/11/26,,,,,,,,,,,,
